zip,count
33981,1
34217,4
34476,7
34608,13
34748,31
34759,49
34950,57
34982,3
30009,18
30012,45
30040,65
30113,4
30135,9
30152,8
30260,18
30268,4
30296,9
30327,8
30344,20
30439,2
30442,1
30547,6
30602,1
30662,11
30753,1
30757,1
31006,1
31088,40
31313,6
31324,3
31639,1
31827,1
31830,3
31903,13
39845,1
50619,2
52403,27
52501,13
52801,2
83440,1
83716,7
60056,8
60067,3
60099,5
60160,14
60607,1
60610,7
60618,2
60657,4
61615,23
62033,1
62301,3
62441,13
62521,16
62959,18
46143,10
46202,17
46307,2
46534,1
46733,3
46975,2
46992,2
46996,2
47112,1
47172,12
47304,70
47546,1
47713,26
47905,5
66043,6
66047,7
66102,7
66214,10
66720,3
67062,8
67110,1
67215,4
67226,22
67550,1
40165,6
40202,14
40241,33
40353,23
40513,15
40517,6
41008,5
41102,1
41267,1
41311,1
42055,2
42103,4
70115,12
70122,3
70458,41
70584,1
70817,2
71064,2
71343,1
2467,5
20616,2
20637,1
20724,1
20879,3
20912,37
21044,59
21076,9
21128,67
21131,2
21204,111
21215,60
21236,56
21286,28
21403,5
21550,17
21617,24
21666,5
21742,6
21913,5
4073,1
48085,2
48150,1
48154,1
48182,1
48744,2
49036,3
55101,4
55416,3
63090,2
63110,46
63135,4
63139,2
63366,73
63801,1
64506,2
38614,17
38701,1
38834,5
38841,1
38862,1
39213,32
39440,4
39451,1
39654,4
59911,1
27050,1
27278,23
27514,30
27542,3
27546,8
27596,3
27601,3
27609,77
27713,11
27871,3
27944,1
27983,5
28037,25
28120,7
28208,5
28312,1
28334,16
28351,1
28467,25
28515,6
28554,1
28579,1
28638,6
28677,36
28694,5
28714,4
28721,10
28753,13
28801,34
3079,14
3106,2
3278,1
3868,1
7002,77
7023,4
7030,42
7059,18
7090,14
7107,4
7201,14
7205,6
7306,75
7421,1
7432,82
7481,5
7624,20
7652,29
7663,2
7747,16
7823,4
7840,56
7928,9
8003,31
8020,1
8028,6
8031,1
8070,21
8088,7
8104,5
8202,4
8230,13
8251,4
8314,2
8318,14
8534,60
8610,21
8618,19
8629,1
8733,16
8820,123
8852,1
8880,9
8904,6
89012,8
89107,1
89128,96
89139,3
89316,1
89403,2
89410,3
89431,17
89519,27
89801,15
89822,1
10026,2
10065,48
10301,12
10309,1
10312,5
10456,1
10532,21
10579,4
10804,1
10923,1
10962,1
10990,7
11023,20
11211,1
11215,4
11222,3
11226,16
11366,5
11377,1
11414,3
11501,32
11548,1
11729,2
11757,3
11796,8
11967,2
12020,4
12052,1
12212,1
12307,13
12443,1
12538,11
12549,1
12566,4
12852,2
13021,9
13057,13
13304,16
14301,1
14850,3
43015,16
43026,13
43123,16
43130,11
43162,1
43207,26
43235,5
43301,7
43724,4
44044,3
